keyword,text,target
ablaze,communal violence bhainsa telangana stone pelted muslim ' house house vehicle set ablaze,1
ablaze,telangana section imposed bhainsa january clash erupted two group january po,1
ablaze,arsonist set car ablaze dealership,1
ablaze,arsonist set car ablaze dealership,1
ablaze,lord jesus love brings freedom pardon fill holy spirit set heart ablaze l,0
ablaze,child chinese tweet would gone viral social medium would ablaze snl would made racist j,0
ablaze,several house set ablaze ngemsibaa village oku sub division north west region cameroon,1
ablaze,asansol bjp office salanpur village set ablaze last night bjp alleged tmc behind incident police b,1
ablaze,national security minister kan dapaah side chic set internet ablaze latest powerful video,0
ablaze,creature soul no longer clarent blue ablaze thing carrying memory memory,0
ablaze,image showing havoc caused cameroon military torched house oku shameless military reported cameroon oku,1
ablaze,social medium went banana chuba hubbard announced monday evening plan return okstate okstate,0
ablaze,hausa youth set area office apapa iganmu local council development area ablaze okada rider stormed lg area office,1
ablaze,mamatabanerjee political violence amp vandalism continues unabated west bengal office asanol mamatabanerjee,1
ablaze,amen set whole system ablaze man,0
ablaze,image showing havoc caused cameroon military torched house oku shameless military cameroon oku,1
ablaze,no cow today local factory sadly still ablaze redjanuary2020 redjanuary2020,1
ablaze,rengoku set heart ablaze p missed style coloring c 鬼滅の刃 鬼滅の刃,0
ablaze,paulzizkaphoto rundle ablaze wishing good evening,0
ablaze,french cameroun set house ablaze ndu roasted two young boy home targeted killing genocideinsou targeted genocideinsou,1
ablaze,cameroon bir soldier invaded southerncameroons village kimar setting ablaze total bir southerncameroons,1
ablaze,fire ablaze throughout land prophosized apocalypse come fruition not building standing come st,1
ablaze,thankfultuesday isaiah pas water pas r thankfultuesday,0
ablaze,walk fire not scorched flame not set ablaze product,0
ablaze,originally intended fired boarder opposing ship crew gunner ship riggi,1
ablaze,warm greeting occasion lohri winter pass may everyone woe trouble set ablaze lohri,0
ablaze,another arson njikom boyo nwr ambazombies yesterday set ablaze council building country wo,1
ablaze,another public market haiti mysteriously set ablaze independent merchant overwhelmingly woman become haiti,1
ablaze,kind true sadly,0
ablaze,swear jam set world ablaze,0
ablaze,marivan kurdistan province monday jan 13th protester set propaganda banner qassemsoleimani ablaze qassemsoleimani i,1
ablaze,marivan kurdistan province monday jan 13th protester set propaganda banner qassemsoleimani ablaze qassemsoleimani,1
ablaze,turn blind eye icident setting ablaze house h,1
ablaze,love completely crazy 've fucking dream ripped like torn jean not ev,0
accident,term demon burning dark ruined people not use magic interact without harm ac,0
accident,heartfelt appreciation prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali fo,0
accident,watch former cm akhilesh yadav went meet injured kannauj accident hospital chhibramau asks emergency med watch,1
accident,gave u everything horrible foot infection wore one thong,0
accident,yeah new swag point since accident like totally transformed bob,0
accident,cool day git push origin current_branch_name know,0
accident,preorder newrelease today witness connected investigating thenutcrackerconspiracy died either preorder newrelease thenutcrackerconspiracy,1
accident,back neck still fucked accident,0
accident,rt prince harry confirmed mother princess diana death not accident,1
accident,note democrat not muslim ban islam not race soleimani terrorist amp exterminated not assas,0
accident,juwan johnson oregon one big dude look like tight end stuck receiver group accident,0
accident,appearance man upside face new year eve party air force base man,0
accident,speeding car rammed group people returning attending temple festival ayyappan kavu thum,1
accident,friend army lost father accident mom right still unconscious please pray mo,1
accident,mlindo vocalist another car accident,1
accident,no greater treasure highest human quality compassion courage hope not even tragic accide,0
accident,please help friend non fault accident resulted vehicle writte,0
accident,hurt younger sibling accident,0
accident,david cameron decision hold referendum expressed medium road traffic accident,1
accident,auto accident injury set process motion get complicated find long take settle,1
accident,no one right call baby accident jd called blessing used loveliest word describe,0
accident,actually posted accident twitter decided stay,0
accident,question let say happily married husband dy tragic accident deveststed pussy not,0
accident,kampala metropolitan east custody two suspect allegedly strangled death passenger,1
accident,completely available public information fire mostly started human purpose accident th,0
accident,phd colleague went way bully cause work discomfort,0
accident,speeding car rammed group people returning attending temple festival ayyappan ka,1
accident,6yr old bella need new home due incident accident live older kid right ho,0
accident,look shit need little as whooped hit somebody accident lecheminduroi bransoncognac starzge lecheminduroi bransoncognac starzge,0
accident,not accident earth god divinely crafted masterpiece designed destiny v,0
accident,iran say shot ukraine international flight accident picture aircraft,1
accident,saw truck container almost falling morning reported,1
accident,judge less smile oldest profession accident lol,0
aftershock,puerto rico hit another magnitude aftershock kyma,1
aftershock,aftershock 4Shocked5 asleep movement bed woke not scary wish not,1
aftershock,good night friend per usgs new quake morning caused day aftershock forecast change,1
aftershock,yea wasnt long killed like second not sure would,0
aftershock,honored essay aftershock marking 50th anniversary alvin toffler future shock compendium essay aftershock,0
aftershock,ticket sale aftershock nowplaying k4hdradio nowplaying k4hdradio,0
aftershock,come u aftershock,0
aftershock,o_o think felt aftershock,0
aftershock,quick comparison ongoing m6 puerto rico earthquake sequence m6 central california sequenc,1
aftershock,puerto ricans refusing go home aside aftershock ground southwest puerto rico,1
aftershock,inception social network easy black swan toy story kid right aftershock,0
aftershock,puerto rico hit another magnitude aftershock kyma,1
aftershock,puerto rico hit another magnitude aftershock kyma,1
aftershock,hard hit,0
aftershock,musharaf verdict mild aftershock extension one not worry come extention,0
aftershock,puerto rico hit another magnitude aftershock kyma,1
aftershock,kumera yellow aftershock ph19fossil featured bankbtn good living magazine photography stylist shino ph19fossil,0
aftershock,puerto rico hit another magnitude aftershock kyma,1
aftershock,please pray puertorico puertorico,0
aftershock,puerto rico hit another magnitude aftershock kyma,1
aftershock,и снова о кризисе демографии yakov_z,0
aftershock,darkake yeek possessor killed possession aftershock ritches tunnel,1
aftershock,check latest video superzero vol closer look closer look superzero vol,0
aftershock,might small aftershock not feel anything,0
aftershock,stay informed stay engaged whats going puertorico earthquake usgs day aftershock puertorico earthquake,0
aftershock,isnt good feel people puerto rico,0
aftershock,aftershock vapor pro review aussie aussie aussie powerupau powerupau,0
aftershock,puerto rico worker explains earthquake aftershock pleading go viral via,0
aftershock,unfathomable number lived large earthquake slept table one terrible night,0
aftershock,nah need calm,0
aftershock,two quake magnitude not say one preshock aftershock one obv,0
aftershock,m4 m5 aftershock happens within day m5 m6 main shock predict say,1
aftershock,not think silivri m4 aftershock silivri m5 month ago quake professor always say nonsen,0
aftershock,think aftershock lyrical beat brent never recovered,0
aftershock,apex separating monarch separation well theory mechagod,0
aftershock,sending mate simon bar asking guiness ending carlsberg export mint,0
aftershock,usgs earthquake expert puertorico installing temporary seismometers help track seismic event including jan usgs earthquake puertorico,0
aftershock,puerto rico hit another magnitude aftershock kyma,1
aftershock,weekend puerto rico struck aftershock causing damage home school leaving thou,1
aftershock,could leave gave,0
aftershock,full experience start one 1st series food running low save young governor,0
aftershock,magnitude quake puertorico morning caused day aftershock forecast change estimate increased puertorico,1
aftershock,continue update day aftershock forecast scenario puertorico forecast posted english puertorico,0
aftershock,another aftershock hit puerto rico last night people not go home even one no po,1
aftershock,aftershock comic prefer working partnership creator build team ground,0
aftershock,earthquake aftershock mess power,0
aftershock,aftershock forecast puerto rico,0
airplane%20accident,like iran shooting airplane accident,1
airplane%20accident,bing bong airplane accident remix,0
airplane%20accident,morgan surprised see shaun back work already offer condolence dad shaun say airplan,0
airplane%20accident,load rubbish never imminent threat jesus christ iran sho,0
airplane%20accident,actually blocking internet accident know like iran shot ukrainian airplane,1
airplane%20accident,conclusion previous page incorrect imho witness observation streak light,0
airplane%20accident,celebrity iran sadly compatriot killed downing uk airplane not di,0
airplane%20accident,iranian radar not tell difference incoming missile going ukrainian airplane,1
airplane%20accident,look timeline see hate coun,0
airplane%20accident,military mistake u military shot iranian passenger airplane iranian military shot ukr,1
airplane%20accident,secret anti spying service middle east high alert demolition commercial airplane u,1
airplane%20accident,friend live believe basic right know happened,0
airplane%20accident,secret anti spying service middle east high alert demolition commercial airpl,1
airplane%20accident,iran fired surface surface missile fired surface air missile,0
airplane%20accident,basically killed general put whole country confusing status shoot civ,0
airplane%20accident,no referring shooting airplane really,0
airplane%20accident,no referring shooting airplane,0
airplane%20accident,anyone belief incident accident idiot airplane approx fee,0
airplane%20accident,anyone belief incident accident idiot airplane approx,0
airplane%20accident,iran not blow airplane accident intended shot accident civilian aircraft,1
airplane%20accident,airplane accident,1
airplane%20accident,mr u hold p trump accountable airplane accident r sad pls tweet abo,0
airplane%20accident,dial toll free phone event wish report fire flood theft armed robbery kidnap,0
airplane%20accident,dial toll free phone event wish report fire flood theft armed robbery k,0
airplane%20accident,iran shoot commercial airplane claim accident anyone really believe,1
airplane%20accident,may unaware cnd currently mourning canadian downed airplane accident iran flag,1
airplane%20accident,sorry loss iran never shot airplane sky accident say,0
airplane%20accident,not iranian knew takeoff happening amp knew airplane manufacturer american,0
airplane%20accident,mass anti government protest erupt iran leader admit shooting airliner still not believe w,0
airplane%20accident,read whole thread blaming trump iran shooting ai,0
airplane%20accident,airplane accident answer u designated iranian government terrorist ha,0
airplane%20accident,hey got swamp land sale either naive plain stupid iran downing,0
airplane%20accident,perhaps prodded others zelensky decides ukraine nothing lose piling onto iran never seen many op,0
airplane%20accident,canadian concerned airplane shot accident canadian many iranian,0
airplane%20accident,shooting airplane accident bullshit like accidental shooting firearm especially since,0
airplane%20accident,odd iranian accidentally blew airplane take someone playing,0
airplane%20accident,canadian concerned airplane shot accident canadian many,0
airplane%20accident,no excuse shooting commercial airplane innocent civilian oh sorry jeremy say,0
airplane%20accident,beat response track airplane surface air missile,0
airplane%20accident,unimaginable people gone one accident could anyone point surface air missile,0
airplane%20accident,accident iran rocketed airplane killing people libs defending like ok b,0
airplane%20accident,no excuse shooting commercial airplane innocent civilian oh sorry jeremy say,0
airplane%20accident,well let see know far body count demonstrator,0
airplane%20accident,beat response track airplane surface air missi,0
airplane%20accident,good lord yeah accident airplane not give missile right away,0
airplane%20accident,iranian leadership downed commercial airplane purpose kidding saying accident,0
airplane%20accident,ooh look nyt became lawyer iranian regime stupid newspaper time vi,0
airplane%20accident,exactly one accidentally fire rocket airplane leaving country airport,0
airplane%20accident,saying shooting airplane w innocent ppl accident bruh,1
airplane%20accident,nuclear physicist airplane no accident,1
airplane%20accident,murderous friend shoot airplane accident killing around innocent people wa,1
airplane%20accident,yup u shot iranian airplane accident supp,1
airplane%20accident,united state down iranian terrorist world press dedicates ton article life lived ira,0
airplane%20accident,besides airplane shot accident thing habbening also high level pro iran militi,0
airplane%20accident,cbc news said operator missile launcher shot airplane cockpit taken,1
airplane%20accident,consider gt person video camera know record attack indication,0
airplane%20accident,besides airplane shot accident thing habbening also high level pro ir,0
airplane%20accident,yeah yer well prepared hit building amp knocked yer airplane accident better keep,0
airplane%20accident,shooting plane accident human error iranian shooting mi,0
airplane%20accident,attack n airplane taken no accident iran want world know co,0
airplane%20accident,grover airplane accident doctor,0
airplane%20accident,trump accident crash airplane ukraine main factor powerful person world whose count,0
airplane%20accident,trump accident crash airplane ukraine main factor powerful person world whose,0
airplane%20accident,although late extend condolence family victim ukrainian airplane falling inclu,1
airplane%20accident,iranian military admitted shot ukrainian airplane missile accidentally not accident crim,1
airplane%20accident,much talk ukraine airplane within iran usa conflict conflict wise irrelevant mo ukraine iran usa,0
airplane%20accident,although late extend condolence family victim ukrainian airplane falling,1
airplane%20accident,iran shot airplane full innocent people say want trump not appropriate r,1
airplane%20accident,still silent killing innocent people iran iranian military admitted shot ukrainian,1
airplane%20accident,iranian chose day time send missile inside iraq also controlled,0
airplane%20accident,airplane routine flight path airport one would think shot would fam,0
airplane%20accident,germany foreign minister heiko maas say 'it must assumed airplane crash iran terrible accident ',1
airplane%20accident,compassion family ukrainian airplane shot accident,1
airplane%20accident,compassion family ukrainian airplane shot accident,0
ambulance,fire engulfs ambulance conveying corpse catholic priest mother streetjournal streetjournal,1
ambulance,racist concerned correct resident birmingham ca not speak english birmingham england,0
ambulance,waarland ambulance p200 a2 rit sabinahof waarland waarland ambulance p2000,0
ambulance,usdjpy despite richter scale overbought fxstreet line swissquote bullish long jason sen mr ambulance chaser b usdjpy,0
ambulance,usdjpy despite richter scale overbought fxstreet line swissquote bullish long jason sen mr ambulance cha usdjpy,0
ambulance,untamed boy singing love siren ambulance theuntamedboysinbkk theuntamedboysinbkk,0
ambulance,pulling ambulance,0
ambulance,hope going ambulance waiting bottom no way fat lump cli,0
ambulance,ร กต ดไซเรน ambulance cover coming theuntamedboys ambassador thai spring festival delightful theuntamedboys,0
ambulance,driving drunk choose way come back home taxi b,0
ambulance,yer severe ambulance ramping funding resourcing,0
ambulance,zulaykha son ambulance driver killed suicide attack maimana faryab everyday visit ambu,0
ambulance,first not taken no damn hospital man died walmart ambulance outside focuse,1
ambulance,jinu okay hit head fainted remember anything yoon ambulance ride hospi,0
ambulance,come recently fuel stolen ambulance vehicle damage staff car whilst ambulanc,1
ambulance,'ve gone ambulance chasing australia,0
ambulance,drumroll beach girl henry tried keep pressure wound call,0
ambulance,racism absolutely delighted,0
ambulance,norovirus like detox get crap system much like flushing central h,0
ambulance,ooh guy know gauteng people go study nursing ambulance nurse keep alive transit,0
ambulance,iranprotests tehran right valiasr intersection special force heading paradise ambulance iranprotests tehran,0
ambulance,one silently pray unknown ambulance passed ambulance,0
ambulance,long night mom sugar dropped dad called ambulance no fun hospital late shift,1
ambulance,norovirus no place like home winter bug unpleasant usual go away coupl,0
ambulance,understand jongkook danced like not breathing heavily end sequence lyi,0
ambulance,unilorin not oxygen whole university ilorin not oxygen refer u uith thinking maybe,0
ambulance,ambulance nurse,0
ambulance,angel africa netcare air ambulance doctor paramedic activated inter hospital trans,1
ambulance,ambulance need call u today toll free number,0
ambulance,lovely message receive thank much,0
ambulance,timely action accident save someone life find someone injury call ambulance,1
ambulance,technical brain speak raging debate mostly disposition amp knowledge calm storm even,0
ambulance,got back hospital bc accidentally blended finger cooking promised ambulance doctor w,0
ambulance,another race baiting ambulance chaser exposed racism action peop,0
ambulance,ooh guy know gauteng people go study nursing ambulance nurse keep alive,0
annihilated,nicki minaj single handedly annihilated male specie day dropped,0
